name,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,dist,hour,tuition,hobby,gender,sep_room,competitive,higher_stud,campus,extra,cet_score
Constantia Yackiminie,7.74,7.95,6.99,9.77,6.98,8.62,9.64,9.6,20,3,No,Yes,Male,Yes,Yes,Yes,Yes,No,151
Barbara-anne Muddicliffe,7.07,6.06,8.43,6.93,8.23,6.28,6.58,7.0,13,6,Yes,No,Female,No,No,No,No,No,145
Leesa Robey,6.23,9.57,8.25,8.78,7.97,6.07,6.17,8.06,10,1,Yes,No,Male,No,Yes,Yes,No,No,138
Oliviero Ashfold,7.35,8.23,8.25,8.63,6.37,6.72,8.93,7.66,7,4,Yes,Yes,Male,No,Yes,No,No,Yes,133
Dan Baselio,9.16,7.56,9.95,8.28,7.2,8.09,7.5,6.99,7,2,Yes,No,Female,Yes,No,No,Yes,No,119
Angelika Langstone,9.69,7.37,6.94,6.94,6.62,8.95,6.08,6.33,2,4,No,Yes,Female,Yes,Yes,No,No,No,111
Donella Hansom,9.07,7.41,8.35,9.98,7.45,6.98,9.16,6.01,11,9,Yes,No,Female,Yes,Yes,No,Yes,No,132
Jilleen Folcarelli,6.11,6.72,7.96,6.48,7.76,9.28,8.28,6.52,11,1,Yes,Yes,Female,No,Yes,Yes,Yes,Yes,160
Ingeborg Kesby,6.87,6.5,9.19,8.06,7.23,6.09,9.12,8.99,21,3,Yes,Yes,Male,No,Yes,Yes,Yes,No,91
Somerset Dackombe,6.2,8.4,7.05,8.28,8.57,6.66,8.34,7.18,8,10,No,No,Male,Yes,Yes,No,Yes,Yes,178
Mickie Daenen,9.48,9.78,8.42,9.01,7.63,7.26,7.26,9.98,24,4,Yes,Yes,Female,Yes,No,No,No,Yes,160
Harrison Teare,7.55,6.74,8.79,8.17,7.34,9.57,6.4,6.77,7,2,No,Yes,Male,Yes,No,Yes,No,No,99
Nert Drynan,8.25,8.85,6.3,6.92,9.02,7.0,6.37,9.21,19,7,Yes,No,Female,Yes,No,Yes,Yes,Yes,145
Turner Cotgrave,7.52,9.86,9.11,6.87,6.07,7.07,8.97,6.08,22,3,Yes,Yes,Female,No,No,Yes,No,No,83
Abagael Dyshart,8.1,7.63,9.94,8.9,6.47,7.11,6.62,7.32,23,10,No,Yes,Female,No,Yes,Yes,No,No,143
Dalston Sawrey,8.49,6.07,7.14,9.22,8.55,6.68,8.45,8.72,10,6,Yes,Yes,Female,No,Yes,Yes,Yes,Yes,129
Thebault Askin,7.04,9.82,7.87,8.8,6.52,8.54,7.49,6.78,5,10,No,No,Male,Yes,Yes,Yes,No,Yes,100
Tildie Gommey,8.88,9.17,7.91,7.22,9.59,9.81,9.0,6.68,17,9,Yes,Yes,Male,Yes,Yes,No,No,Yes,115
Myrtice Tickner,9.57,9.09,9.8,7.18,9.23,6.45,7.37,9.26,24,6,Yes,Yes,Male,Yes,No,No,Yes,No,82
Fancie Seer,6.55,8.94,6.09,7.41,6.46,6.1,9.26,8.14,5,7,Yes,No,Male,No,No,No,No,Yes,123
Merwyn Lossman,8.61,6.5,9.94,6.53,7.1,6.28,8.16,8.17,13,3,No,Yes,Female,Yes,Yes,No,Yes,Yes,148
Reeta Mildenhall,8.27,9.89,8.16,6.19,8.67,8.13,8.7,8.71,5,2,No,Yes,Female,Yes,Yes,Yes,Yes,Yes,96
Meredith Abisetti,6.66,9.59,9.64,6.6,7.88,6.68,8.04,8.08,20,8,Yes,No,Male,Yes,Yes,No,Yes,Yes,157
Ora Jeffcoat,6.98,9.57,7.5,9.78,9.25,7.24,9.62,9.98,9,5,No,No,Female,Yes,Yes,Yes,Yes,Yes,142
Jerrold Hymer,6.33,7.46,9.2,6.08,9.09,7.73,9.66,6.86,22,0,Yes,Yes,Male,No,No,No,Yes,Yes,147
Clementius Hollyman,9.61,6.18,6.96,7.0,9.02,8.61,6.04,9.49,10,4,No,Yes,Female,Yes,No,Yes,No,No,135
Merna Inchboard,8.2,9.93,7.78,8.59,6.79,7.35,7.58,7.64,19,2,No,No,Female,Yes,No,Yes,No,Yes,96
Neddie Kinneally,9.19,8.0,9.2,7.27,8.5,7.04,7.61,7.03,3,4,Yes,Yes,Male,Yes,No,No,No,No,128
Jobina Tavener,8.29,9.35,7.65,9.72,7.38,8.67,9.1,9.66,19,8,No,Yes,Female,Yes,No,No,Yes,No,84
Janette Zapata,6.79,9.03,7.52,6.38,7.27,7.0,6.18,9.11,24,6,Yes,No,Female,No,No,No,No,No,111
Dur Melhuish,7.67,6.22,8.25,8.92,8.34,7.99,10.0,6.61,5,10,Yes,Yes,Female,Yes,Yes,Yes,No,No,112
Ignaz Lancetter,6.16,6.3,9.04,7.16,7.16,7.17,8.33,8.66,20,2,Yes,No,Female,No,Yes,Yes,Yes,No,130
Angele Amberg,8.89,9.19,8.15,9.84,7.6,8.07,8.01,6.42,24,6,No,Yes,Female,No,Yes,Yes,Yes,No,104
Leticia Ness,6.89,9.64,6.1,6.2,6.07,9.94,7.78,6.65,22,0,Yes,No,Female,Yes,No,No,No,No,124
Alberta Dadswell,9.77,9.59,9.57,6.21,6.26,6.28,8.91,7.74,8,3,No,No,Female,Yes,Yes,No,No,Yes,145
Olivia Troyes,9.15,8.17,6.06,6.74,7.46,9.32,9.88,6.19,10,5,No,Yes,Male,Yes,Yes,No,Yes,No,179
Myrtie Deyes,9.22,7.25,8.63,9.5,6.94,7.71,7.55,6.61,21,4,Yes,No,Female,No,No,No,No,No,144
Svend Jeavons,6.78,8.85,9.75,8.77,6.14,9.02,9.49,8.14,13,10,Yes,No,Male,Yes,No,No,Yes,Yes,108
Stanislaus Goacher,9.91,9.21,8.82,9.85,8.1,8.61,8.83,8.25,11,10,Yes,Yes,Male,No,Yes,Yes,Yes,No,80
Carlynn Jedrzejewsky,9.67,7.81,8.31,8.74,8.7,9.78,7.68,9.53,18,6,No,No,Female,No,Yes,No,Yes,No,155
Jo ann Fattorini,8.86,9.8,7.56,9.59,6.73,8.29,9.31,7.15,8,6,Yes,No,Female,Yes,Yes,No,No,No,89
Holly Fowley,9.93,6.48,8.85,9.01,6.83,6.59,9.04,9.2,10,8,Yes,Yes,Female,No,Yes,Yes,No,Yes,166
Jeffrey Drillot,7.81,7.94,7.73,7.59,9.04,9.21,6.89,7.62,15,1,No,Yes,Male,No,No,Yes,No,No,109
Ebba Wanklyn,8.37,6.03,8.62,7.12,7.91,9.5,8.36,9.35,22,4,Yes,No,Male,Yes,No,No,Yes,Yes,175
Joell Etuck,8.04,8.04,7.89,9.63,7.57,6.84,8.37,8.11,24,4,Yes,No,Male,No,Yes,No,Yes,Yes,147
Van Zouch,7.28,8.39,6.07,8.18,9.28,7.33,6.41,8.23,8,2,Yes,No,Female,Yes,Yes,Yes,Yes,Yes,177
Miller Heims,9.91,7.93,8.53,6.98,8.3,6.16,7.6,8.92,13,4,Yes,Yes,Male,No,No,No,Yes,No,147
Konstantine Coyne,7.46,9.21,8.01,8.38,6.16,9.59,8.59,6.08,6,0,No,No,Female,Yes,Yes,Yes,Yes,No,164
Jerrilee Steers,6.12,9.14,7.02,7.71,9.61,6.83,7.48,7.58,19,7,Yes,No,Male,No,No,No,Yes,No,86
Leann Richemont,7.2,9.83,9.56,7.66,8.32,7.87,6.36,8.17,14,0,Yes,Yes,Female,No,No,Yes,Yes,No,125
Karole Iveagh,9.13,6.98,6.29,8.28,9.95,7.38,7.16,7.6,5,6,Yes,Yes,Female,No,Yes,Yes,Yes,Yes,119
Deloris Fassman,7.36,8.33,9.33,8.14,8.24,9.62,7.19,6.1,7,8,No,No,Male,No,No,Yes,Yes,No,99
Hyatt Acom,8.03,9.21,7.16,8.08,9.58,8.52,9.48,7.66,14,8,No,Yes,Male,No,No,No,No,No,127
Eyde Ivashin,7.97,7.6,7.07,8.61,6.06,8.73,6.99,9.59,9,4,Yes,No,Female,Yes,Yes,Yes,No,Yes,124
Kalie Marjot,9.89,8.58,7.9,8.35,9.1,9.65,7.33,8.38,20,6,Yes,Yes,Female,Yes,No,No,No,No,132
Rafferty Bagott,7.07,6.67,6.93,6.92,7.35,6.23,7.35,7.93,2,7,Yes,Yes,Female,No,Yes,Yes,No,Yes,160
Zonnya Bukac,8.24,8.99,6.53,7.37,8.59,7.99,6.33,9.3,23,9,Yes,Yes,Female,Yes,Yes,Yes,No,Yes,134
Rahel Redmore,8.49,7.82,6.39,7.07,6.55,7.77,6.39,8.4,10,0,No,No,Male,No,Yes,Yes,No,Yes,144
Rosina Hucquart,9.09,7.28,6.87,9.41,8.97,7.25,8.22,8.42,14,0,Yes,Yes,Male,Yes,Yes,No,No,No,91
Mady Kevern,7.9,7.49,8.08,9.99,8.67,9.78,9.31,7.48,7,10,Yes,No,Female,Yes,Yes,No,No,No,144
Tome Ferreres,7.18,8.34,6.88,6.87,9.35,9.82,6.79,7.23,25,5,No,Yes,Female,Yes,No,Yes,No,Yes,98
Nessi Olivey,6.39,9.95,9.99,9.58,9.17,6.54,6.98,7.14,7,3,Yes,Yes,Male,No,Yes,Yes,Yes,No,84
Danie Stallebrass,7.51,6.11,9.18,6.03,8.13,8.31,7.18,6.2,10,5,No,Yes,Female,No,No,No,Yes,No,149
Brynna Mackrill,8.18,8.11,6.19,8.26,8.76,6.61,9.52,9.65,19,4,No,Yes,Female,No,No,Yes,No,No,152
Lanita Dabnor,7.87,7.04,8.7,8.75,8.94,9.41,6.34,9.3,22,6,Yes,Yes,Female,No,Yes,Yes,No,No,110
Deina Knell,7.29,9.4,9.56,7.25,9.17,9.83,6.27,6.28,4,6,No,No,Male,No,No,No,Yes,Yes,104
Sarena Pearcey,9.18,8.92,7.91,7.45,8.09,8.72,7.53,8.08,20,4,No,No,Female,Yes,No,No,Yes,No,163
Timotheus Steet,8.12,9.61,9.91,6.93,9.49,8.82,6.02,9.86,24,7,No,Yes,Male,No,Yes,No,Yes,No,151
Shauna Dunridge,7.19,8.36,6.18,7.66,6.31,8.76,7.5,6.97,14,2,Yes,No,Male,Yes,Yes,No,Yes,Yes,155
Norris Hehnke,9.51,7.81,9.45,8.67,7.92,9.36,6.41,9.92,19,5,No,No,Male,Yes,Yes,Yes,Yes,Yes,111
Luella Linnell,9.52,6.34,8.32,8.88,8.33,8.2,7.78,6.51,5,4,No,No,Male,Yes,No,No,Yes,No,133
Lizzie Copins,7.46,9.22,7.22,7.02,9.95,9.88,9.24,8.51,16,5,Yes,Yes,Male,Yes,No,No,Yes,No,173
Justinian Orans,7.16,7.34,8.64,7.77,9.94,7.71,9.74,7.99,20,9,No,Yes,Male,Yes,Yes,No,Yes,Yes,130
Zilvia Lathom,9.01,6.73,6.81,9.06,8.79,6.25,8.41,7.55,10,4,No,Yes,Male,No,No,No,Yes,Yes,83
Lauren Laweles,9.28,8.29,7.71,8.0,7.67,8.82,7.63,7.93,4,5,Yes,No,Male,No,No,No,No,No,173
Emmy Congreave,6.1,9.18,6.89,8.12,6.71,8.65,6.13,7.29,15,2,No,Yes,Female,No,No,Yes,No,No,84
Westbrooke Leschelle,7.68,7.18,9.41,6.4,6.81,9.95,8.82,7.68,22,5,Yes,No,Male,No,No,No,No,Yes,157
Brita Blois,8.24,6.53,9.71,7.56,7.81,9.05,9.2,7.46,6,4,Yes,Yes,Male,No,No,Yes,No,Yes,157
Reagen Quail,8.31,9.88,8.64,8.38,6.55,8.72,8.74,9.64,16,2,No,No,Male,Yes,No,Yes,No,No,154
Nance Mowat,8.03,8.2,7.28,7.61,7.36,6.89,9.59,8.33,25,6,No,No,Female,Yes,No,No,No,No,86
